"Date","DailyDischarge","DailySSC","DailySuspendedSediment","DailySSfines","DailySSsand","TotalSedimentDischarge","ProjectYear","TimeStamp"
"2011-09-15",19.1,53.9,89.1,88.5,0.6,105,"proj year 1","During"
"2011-09-16",18.7,54.1,87.3,86.7,0.6,103,"proj year 1","During"
"2011-09-17",17.7,54.1,82.9,82.4,0.6,98,"proj year 1","During"
"2011-09-18",17.5,54.2,81.7,81.2,0.6,96,"proj year 1","During"
"2011-09-19",19.1,54.2,89.4,88.8,0.6,105,"proj year 1","During"
"2011-09-20",17.4,54.2,81.4,80.9,0.6,96,"proj year 1","During"
"2011-09-21",16.2,54.1,75.8,75.3,0.5,89,"proj year 1","During"
"2011-09-22",18.4,54.1,86.3,85.7,0.6,101,"proj year 1","During"
"2011-09-23",27.7,54.3,130.1,129.2,0.9,153,"proj year 1","During"
"2011-09-24",24.8,54.1,115.9,115.1,0.8,136,"proj year 1","During"
"2011-09-25",21.9,54.1,102.3,101.6,0.7,120,"proj year 1","During"
"2011-09-26",33.9,126,369.5,353.1,16.4,435,"proj year 1","During"
"2011-09-27",86.1,106.9,794.6,757.5,37.1,935,"proj year 1","During"
"2011-09-28",41.8,104.3,376.3,355.6,20.7,443,"proj year 1","During"
"2011-09-29",28.7,84,208.5,198.1,10.3,245,"proj year 1","During"
"2011-09-30",23.2,81.1,162.7,155,7.6,191,"proj year 1","During"
"2011-10-01",20.6,84.2,149.9,142.4,7.5,176,"proj year 1","During"
"2011-10-02",19,87.5,143.5,135.8,7.7,169,"proj year 1","During"
"2011-10-03",23.1,89.4,178.4,168.4,9.9,210,"proj year 1","During"
"2011-10-04",30,91.2,236.2,222.7,13.6,278,"proj year 1","During"
"2011-10-05",34.6,95.7,286,268.8,17.3,337,"proj year 1","During"
"2011-10-06",29.6,90.7,232.2,219,13.2,273,"proj year 1","During"
"2011-10-07",27.4,84.6,200.6,190.4,10.2,236,"proj year 1","During"
"2011-10-08",26.2,81,183.2,174.6,8.6,215,"proj year 1","During"
"2011-10-09",22,78,148.3,141.9,6.5,174,"proj year 1","During"
"2011-10-10",19.6,79.8,135.3,129.6,5.7,159,"proj year 1","During"
"2011-10-11",46.8,103.7,419.5,399.8,19.7,494,"proj year 1","During"
"2011-10-12",75.6,158.3,1034.1,963.5,70.6,1217,"proj year 1","During"
"2011-10-13",48.6,121.8,511.6,477.6,33.9,602,"proj year 1","During"
"2011-10-14",37.9,95.7,313.5,296.1,17.4,369,"proj year 1","During"
"2011-10-15",32.1,85.3,236.8,224.6,12.1,279,"proj year 1","During"
"2011-10-16",28,80.7,195.2,183.3,11.9,230,"proj year 1","During"
"2011-10-17",26.9,76.7,178.4,166.8,11.6,210,"proj year 1","During"
"2011-10-18",26.6,75.6,173.5,162.3,11.3,204,"proj year 1","During"
"2011-10-19",23.8,282.2,580.3,438.1,142.3,683,"proj year 1","During"
"2011-10-20",23,147.4,293.3,232,61.4,345,"proj year 1","During"
"2011-10-21",24.5,172.6,366.2,277.1,89.1,431,"proj year 1","During"
"2011-10-22",30.8,184.1,489.1,371.5,117.6,575,"proj year 1","During"
"2011-10-23",38.8,210.1,704.4,529.7,174.7,829,"proj year 1","During"
"2011-10-24",30.4,166.8,438.1,333.4,104.7,515,"proj year 1","During"
"2011-10-25",26.9,149.1,346,265.7,80.3,407,"proj year 1","During"
"2011-10-26",26.8,143.6,333,257.3,75.7,392,"proj year 1","During"
"2011-10-27",23.1,148.4,295.7,228.4,67.2,348,"proj year 1","During"
"2011-10-28",20.9,143.7,259.2,202,57.2,305,"proj year 1","During"
"2011-10-29",29.9,135.1,348.7,273.1,75.7,410,"proj year 1","During"
"2011-10-30",24.9,123.4,265.1,211.9,53.2,312,"proj year 1","During"
"2011-10-31",28.1,112,271.8,221.8,50,320,"proj year 1","During"
"2011-11-01",24.2,107.7,225.2,184.4,40.8,265,"proj year 1","During"
"2011-11-02",22,106,201.6,165.7,36,237,"proj year 1","During"
"2011-11-03",22.2,103.1,197.6,162.8,34.8,233,"proj year 1","During"
"2011-11-04",20.8,102,183.5,151.6,31.9,216,"proj year 1","During"
"2011-11-05",19.6,95.7,162.1,136.3,25.8,191,"proj year 1","During"
"2011-11-06",18.6,92.8,149.3,126.3,23,176,"proj year 1","During"
"2011-11-07",17.9,92,142.3,120.4,21.9,167,"proj year 1","During"
"2011-11-08",17.5,93.9,142,119.7,22.3,167,"proj year 1","During"
"2011-11-09",17.2,92.8,137.7,116.3,21.4,162,"proj year 1","During"
"2011-11-10",17.8,97.8,150,126.2,23.9,177,"proj year 1","During"
"2011-11-11",19.4,102.6,172.3,144.1,28.2,203,"proj year 1","During"
"2011-11-12",27.6,116.8,278.1,225.1,53.1,327,"proj year 1","During"
"2011-11-13",23,111.6,221.8,180.1,41.7,261,"proj year 1","During"
"2011-11-14",21.3,104.3,192,157.7,34.4,226,"proj year 1","During"
"2011-11-15",19.7,101.3,172,142.1,29.9,202,"proj year 1","During"
"2011-11-16",18.4,104.9,167.1,137.6,29.5,197,"proj year 1","During"
"2011-11-17",32.2,128.9,358.4,288,70.4,422,"proj year 1","During"
"2011-11-18",29.6,154.9,395.6,302.7,92.9,465,"proj year 1","During"
"2011-11-19",24.1,152.2,316.8,240.3,76.4,373,"proj year 1","During"
"2011-11-20",21.5,132,244.9,189.6,55.3,288,"proj year 1","During"
